t_ms,phase_idx,phase,frame_seq,dx,dy,body_fw,body_left,pos_fw,pos_left,confidence,imu_x_mg,imu_y_mg,imu_z_mg
6384,2,WAIT_c1,1979,0,0,0,0,4,0,248,0,0,0
6434,2,WAIT_c1,1980,0,0,0,0,4,0,248,0,0,0
6475,2,WAIT_c1,1981,0,0,0,0,4,0,248,0,0,0
6518,2,WAIT_c1,1982,0,0,0,0,4,0,248,0,0,0
6559,2,WAIT_c1,1983,0,0,0,0,4,0,248,0,0,0
6606,2,WAIT_c1,1984,0,0,0,0,4,0,248,0,0,0
6654,2,WAIT_c1,1985,0,0,0,0,4,0,248,0,0,0
6696,2,WAIT_c1,1986,0,0,0,0,4,0,244,0,0,0
6736,2,WAIT_c1,1987,0,0,0,0,4,0,248,0,0,0
6776,2,WAIT_c1,1988,0,0,0,0,4,0,248,0,0,0
6816,2,WAIT_c1,1989,0,0,0,0,4,0,248,0,0,0
6856,2,WAIT_c1,1990,0,0,0,0,4,0,244,0,0,0
6897,2,WAIT_c1,1991,0,0,0,0,4,0,244,0,0,0
6963,2,WAIT_c1,1992,0,0,0,0,4,0,248,0,0,0
7005,2,WAIT_c1,1993,0,0,0,0,4,0,248,0,0,0
7047,2,WAIT_c1,1994,0,0,0,0,4,0,248,0,0,0
7089,2,WAIT_c1,1995,0,0,0,0,4,0,248,0,0,0
7138,2,WAIT_c1,1996,0,0,0,0,4,0,248,0,0,0
7185,2,WAIT_c1,1997,0,0,0,0,4,0,248,0,0,0
7226,2,WAIT_c1,1998,0,0,0,0,4,0,248,0,0,0
7266,2,WAIT_c1,1999,0,0,0,0,4,0,248,0,0,0
7306,2,WAIT_c1,2000,0,0,0,0,4,0,248,0,0,0
7347,2,WAIT_c1,2001,0,0,0,0,4,0,248,0,0,0
7389,2,WAIT_c1,2002,0,0,0,0,4,0,248,0,0,0
7431,2,WAIT_c1,2003,0,0,0,0,4,0,248,0,0,0
7481,2,WAIT_c1,2004,0,0,0,0,4,0,244,0,0,0
7523,2,WAIT_c1,2005,0,0,0,0,4,0,244,0,0,0
7565,2,WAIT_c1,2006,0,0,0,0,4,0,248,0,0,0
7607,2,WAIT_c1,2007,0,0,0,0,4,0,248,0,0,0
7648,2,WAIT_c1,2008,0,0,0,0,4,0,248,0,0,0
7699,2,WAIT_c1,2009,0,0,0,0,4,0,248,0,0,0
7744,2,WAIT_c1,2010,0,0,0,0,4,0,248,0,0,0
7785,2,WAIT_c1,2011,0,0,0,0,4,0,248,0,0,0
7825,2,WAIT_c1,2012,0,0,0,0,4,0,248,0,0,0
7865,2,WAIT_c1,2013,0,0,0,0,4,0,248,0,0,0
7905,2,WAIT_c1,2014,0,0,0,0,4,0,248,0,0,0
7945,2,WAIT_c1,2015,0,0,0,0,4,0,248,0,0,0
7987,2,WAIT_c1,2016,0,0,0,0,4,0,248,0,0,0
8029,3,MOVE_R,2017,0,0,0,0,4,0,248,0,0,0
8077,3,MOVE_R,2018,0,0,0,0,4,0,248,0,0,0
8125,3,MOVE_R,2019,0,0,0,0,4,0,248,0,0,0
8173,3,MOVE_R,2020,0,0,0,0,4,0,248,0,0,0
8223,3,MOVE_R,2021,0,0,0,0,4,0,248,0,0,0
8283,3,MOVE_R,2022,0,0,0,0,4,0,248,0,0,0
8322,3,MOVE_R,2023,-1,0,1,0,5,0,248,0,0,0
8359,3,MOVE_R,2024,0,0,0,0,5,0,248,0,0,0
8381,3,MOVE_R,2025,0,0,0,0,5,0,248,0,0,0
8426,3,MOVE_R,2026,0,0,0,0,5,0,248,0,0,0
8489,3,MOVE_R,2027,0,0,0,0,5,0,248,0,0,0
8529,3,MOVE_R,2028,0,0,0,0,5,0,248,0,0,0
8569,3,MOVE_R,2029,0,0,0,0,5,0,248,0,0,0
8611,3,MOVE_R,2030,0,0,0,0,5,0,248,0,0,0
8652,3,MOVE_R,2031,0,0,0,0,5,0,248,0,0,0
8696,3,MOVE_R,2032,0,0,0,0,5,0,248,0,0,0
8744,3,MOVE_R,2033,0,0,0,0,5,0,244,0,0,0
8788,3,MOVE_R,2034,0,0,0,0,5,0,248,0,0,0
8847,3,MOVE_R,2035,0,0,0,0,5,0,248,0,0,0
8868,3,MOVE_R,2036,0,0,0,0,5,0,248,0,0,0
8927,3,MOVE_R,2037,0,0,0,0,5,0,248,0,0,0
8948,3,MOVE_R,2038,0,0,0,0,5,0,248,0,0,0
8968,3,MOVE_R,2039,0,0,0,0,5,0,244,0,0,0
9028,3,MOVE_R,2040,0,0,0,0,5,0,248,0,0,0
9086,3,MOVE_R,2041,0,0,0,0,5,0,244,0,0,0
9108,3,MOVE_R,2042,0,0,0,0,5,0,248,0,0,0
9149,3,MOVE_R,2043,0,0,0,0,5,0,248,0,0,0
9193,3,MOVE_R,2044,0,0,0,0,5,0,248,0,0,0
9238,3,MOVE_R,2045,0,0,0,0,5,0,248,0,0,0
9287,3,MOVE_R,2046,0,0,0,0,5,0,248,0,0,0
9330,3,MOVE_R,2047,0,0,0,0,5,0,248,0,0,0
9371,3,MOVE_R,2048,0,0,0,0,5,0,248,0,0,0
9411,3,MOVE_R,2049,0,0,0,0,5,0,248,0,0,0
9451,3,MOVE_R,2050,0,0,0,0,5,0,248,0,0,0
9491,3,MOVE_R,2051,0,0,0,0,5,0,248,0,0,0
9532,3,MOVE_R,2052,0,0,0,0,5,0,248,0,0,0
9576,3,MOVE_R,2053,0,0,0,0,5,0,244,0,0,0
9623,3,MOVE_R,2054,0,0,0,0,5,0,248,0,0,0
9679,3,MOVE_R,2055,0,0,0,0,5,0,244,0,0,0
9728,3,MOVE_R,2056,0,0,0,0,5,0,244,0,0,0
9770,3,MOVE_R,2057,0,0,0,0,5,0,248,0,0,0
9810,3,MOVE_R,2058,0,0,0,0,5,0,248,0,0,0
9850,3,MOVE_R,2059,0,0,0,0,5,0,248,0,0,0
9890,3,MOVE_R,2060,0,0,0,0,5,0,248,0,0,0
9931,3,MOVE_R,2061,0,0,0,0,5,0,248,0,0,0
9989,3,MOVE_R,2062,0,0,0,0,5,0,248,0,0,0
10030,3,MOVE_R,2063,0,0,0,0,5,0,244,0,0,0
10070,3,MOVE_R,2064,0,0,0,0,5,0,248,0,0,0
10111,3,MOVE_R,2065,0,0,0,0,5,0,244,0,0,0
10152,3,MOVE_R,2066,0,0,0,0,5,0,248,0,0,0
10203,3,MOVE_R,2067,0,0,0,0,5,0,248,0,0,0
10250,3,MOVE_R,2068,0,0,0,0,5,0,244,0,0,0
10290,3,MOVE_R,2069,0,0,0,0,5,0,248,0,0,0
10331,3,MOVE_R,2070,0,0,0,0,5,0,244,0,0,0
10372,3,MOVE_R,2071,0,0,0,0,5,0,248,0,0,0
10415,3,MOVE_R,2072,0,0,0,0,5,0,248,0,0,0
10464,3,MOVE_R,2073,0,0,0,0,5,0,248,0,0,0
10509,3,MOVE_R,2074,0,0,0,0,5,0,248,0,0,0
10549,3,MOVE_R,2075,0,0,0,0,5,0,248,0,0,0
10589,3,MOVE_R,2076,0,0,0,0,5,0,248,0,0,0
10631,3,MOVE_R,2077,0,0,0,0,5,0,244,0,0,0
10673,3,MOVE_R,2078,0,0,0,0,5,0,248,0,0,0
10723,3,MOVE_R,2079,0,0,0,0,5,0,248,0,0,0
10769,3,MOVE_R,2080,0,0,0,0,5,0,248,0,0,0
10809,3,MOVE_R,2081,0,0,0,0,5,0,248,0,0,0
10849,3,MOVE_R,2082,0,0,0,0,5,0,244,0,0,0
10889,3,MOVE_R,2083,0,0,0,0,5,0,248,0,0,0
10929,3,MOVE_R,2084,0,0,0,0,5,0,248,0,0,0
10969,3,MOVE_R,2085,0,0,0,0,5,0,248,0,0,0
11016,3,MOVE_R,2086,0,0,0,0,5,0,248,0,0,0
11065,3,MOVE_R,2087,0,0,0,0,5,0,248,0,0,0
11109,3,MOVE_R,2088,0,0,0,0,5,0,248,0,0,0
11151,3,MOVE_R,2089,0,0,0,0,5,0,248,0,0,0
11199,3,MOVE_R,2090,-1,0,1,0,6,0,244,0,0,0
11266,3,MOVE_R,2091,0,0,0,0,6,0,248,0,0,0
11288,3,MOVE_R,2092,0,0,0,0,6,0,248,0,0,0
11346,3,MOVE_R,2093,0,0,0,0,6,0,248,0,0,0
11368,3,MOVE_R,2094,0,0,0,0,6,0,248,0,0,0
11426,3,MOVE_R,2095,0,0,0,0,6,0,248,0,0,0
11448,3,MOVE_R,2096,0,0,0,0,6,0,248,0,0,0
11505,3,MOVE_R,2097,0,0,0,0,6,0,244,0,0,0
11546,3,MOVE_R,2098,0,0,0,0,6,0,248,0,0,0
11586,3,MOVE_R,2099,0,0,0,0,6,0,248,0,0,0
11626,3,MOVE_R,2100,0,0,0,0,6,0,248,0,0,0
11675,3,MOVE_R,2101,0,0,0,0,6,0,248,0,0,0
11724,3,MOVE_R,2102,0,0,0,0,6,0,248,0,0,0
11782,3,MOVE_R,2103,0,0,0,0,6,0,248,0,0,0
11804,3,MOVE_R,2104,0,0,0,0,6,0,248,0,0,0
11861,3,MOVE_R,2105,0,0,0,0,6,0,248,0,0,0
11883,3,MOVE_R,2106,-1,0,1,0,7,0,248,0,0,0
11925,3,MOVE_R,2107,0,0,0,0,7,0,248,0,0,0
11983,3,MOVE_R,2108,0,0,0,0,7,0,248,0,0,0
12004,3,MOVE_R,2109,0,0,0,0,7,0,248,0,0,0
12062,4,WAIT_c2,2110,0,0,0,0,7,0,248,0,0,0
12084,4,WAIT_c2,2111,0,0,0,0,7,0,248,0,0,0
12125,4,WAIT_c2,2112,0,0,0,0,7,0,244,0,0,0
12173,4,WAIT_c2,2113,1,0,-1,0,6,0,244,0,0,0
12222,4,WAIT_c2,2114,0,0,0,0,6,0,248,0,0,0
12266,4,WAIT_c2,2115,0,0,0,0,6,0,248,0,0,0
12306,4,WAIT_c2,2116,0,0,0,0,6,0,248,0,0,0
12346,4,WAIT_c2,2117,0,0,0,0,6,0,248,0,0,0
12387,4,WAIT_c2,2118,0,0,0,0,6,0,248,0,0,0
12427,4,WAIT_c2,2119,0,0,0,0,6,0,248,0,0,0
12467,4,WAIT_c2,2120,0,0,0,0,6,0,248,0,0,0
12509,4,WAIT_c2,2121,0,0,0,0,6,0,248,0,0,0
12551,4,WAIT_c2,2122,0,0,0,0,6,0,248,0,0,0
12600,4,WAIT_c2,2123,0,0,0,0,6,0,248,0,0,0
12650,4,WAIT_c2,2124,0,0,0,0,6,0,248,0,0,0
12702,4,WAIT_c2,2125,0,0,0,0,6,0,248,0,0,0
12746,4,WAIT_c2,2126,0,0,0,0,6,0,248,0,0,0
12786,4,WAIT_c2,2127,0,0,0,0,6,0,248,0,0,0
12826,4,WAIT_c2,2128,0,0,0,0,6,0,248,0,0,0
12866,4,WAIT_c2,2129,0,0,0,0,6,0,248,0,0,0
12906,4,WAIT_c2,2130,0,0,0,0,6,0,248,0,0,0
12947,4,WAIT_c2,2131,0,0,0,0,6,0,248,0,0,0
13005,4,WAIT_c2,2132,0,0,0,0,6,0,248,0,0,0
13047,4,WAIT_c2,2133,0,0,0,0,6,0,248,0,0,0
13088,4,WAIT_c2,2134,0,0,0,0,6,0,248,0,0,0
13134,4,WAIT_c2,2135,0,0,0,0,6,0,248,0,0,0
13182,4,WAIT_c2,2136,0,0,0,0,6,0,248,0,0,0
13226,4,WAIT_c2,2137,0,0,0,0,6,0,248,0,0,0
13266,4,WAIT_c2,2138,0,0,0,0,6,0,248,0,0,0
13306,4,WAIT_c2,2139,0,0,0,0,6,0,248,0,0,0
13346,4,WAIT_c2,2140,0,0,0,0,6,0,248,0,0,0
13387,4,WAIT_c2,2141,0,0,0,0,6,0,248,0,0,0
13427,4,WAIT_c2,2142,0,0,0,0,6,0,248,0,0,0
13468,4,WAIT_c2,2143,0,0,0,0,6,0,248,0,0,0
13508,4,WAIT_c2,2144,0,0,0,0,6,0,248,0,0,0
13550,4,WAIT_c2,2145,0,0,0,0,6,0,248,0,0,0
13594,4,WAIT_c2,2146,0,0,0,0,6,0,248,0,0,0
13643,4,WAIT_c2,2147,0,0,0,0,6,0,248,0,0,0
13689,4,WAIT_c2,2148,0,0,0,0,6,0,248,0,0,0
13731,4,WAIT_c2,2149,0,0,0,0,6,0,248,0,0,0
13775,4,WAIT_c2,2150,0,0,0,0,6,0,248,0,0,0
13824,4,WAIT_c2,2151,0,0,0,0,6,0,248,0,0,0
13866,4,WAIT_c2,2152,0,0,0,0,6,0,248,0,0,0
13906,4,WAIT_c2,2153,0,0,0,0,6,0,248,0,0,0
13947,4,WAIT_c2,2154,0,0,0,0,6,0,248,0,0,0
13987,4,WAIT_c2,2155,0,0,0,0,6,0,248,0,0,0
14027,4,WAIT_c2,2156,0,0,0,0,6,0,248,0,0,0
14067,5,MOVE_BACK,2157,0,0,0,0,6,0,248,0,0,0
14110,5,MOVE_BACK,2158,-1,0,1,0,7,0,244,0,0,0
14150,5,MOVE_BACK,2159,0,0,0,0,7,0,248,0,0,0
14201,5,MOVE_BACK,2160,0,0,0,0,7,0,248,0,0,0
14246,5,MOVE_BACK,2161,0,0,0,0,7,0,248,0,0,0
14303,5,MOVE_BACK,2162,0,0,0,0,7,0,248,0,0,0
14325,5,MOVE_BACK,2163,0,0,0,0,7,0,248,0,0,0
14366,5,MOVE_BACK,2164,0,0,0,0,7,0,248,0,0,0
14407,5,MOVE_BACK,2165,0,0,0,0,7,0,248,0,0,0
14447,5,MOVE_BACK,2166,0,0,0,0,7,0,248,0,0,0
14503,5,MOVE_BACK,2167,0,0,0,0,7,0,248,0,0,0
14545,5,MOVE_BACK,2168,0,0,0,0,7,0,248,0,0,0
14585,5,MOVE_BACK,2169,0,0,0,0,7,0,248,0,0,0
14626,5,MOVE_BACK,2170,0,0,0,0,7,0,248,0,0,0
14672,5,MOVE_BACK,2171,0,0,0,0,7,0,244,0,0,0
14722,5,MOVE_BACK,2172,0,0,0,0,7,0,248,0,0,0
14764,5,MOVE_BACK,2173,0,0,0,0,7,0,244,0,0,0
14821,5,MOVE_BACK,2174,0,0,0,0,7,0,244,0,0,0
14843,5,MOVE_BACK,2175,0,0,0,0,7,0,248,0,0,0
14885,5,MOVE_BACK,2176,0,0,0,0,7,0,244,0,0,0
14925,5,MOVE_BACK,2177,0,0,0,0,7,0,248,0,0,0
14966,5,MOVE_BACK,2178,0,0,0,0,7,0,248,0,0,0
15006,5,MOVE_BACK,2179,0,0,0,0,7,0,248,0,0,0
15047,5,MOVE_BACK,2180,0,0,0,0,7,0,244,0,0,0
