    PID    PPID STAT CMD
   1793       2 S    [UVM deferred release queue]
   1794       2 S    [UVM Tools Event Queue]
   2365       1 Ss   avahi-daemon: running [lhpc.local]
   2366       1 Ss   /bin/sh /usr/lib/systemd/scripts/chronyd-starter.sh -n -F 1
   2367       1 Ss   @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2371       1 Ssl  /usr/libexec/gnome-remote-desktop-daemon --system
   2377       1 Ss   /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
   2385       1 Ss   /usr/bin/nvidia-persistenced --user nvidia-persistenced --no-persistence-mode --verbose
   2390       1 Ssl  /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
   2397       1 Ssl  /usr/lib/snapd/snapd
   2398       1 Ssl  /usr/libexec/accounts-daemon
   2399       1 Ss   /usr/sbin/cron -f -P
   2404       1 Ssl  /usr/libexec/switcheroo-control
   2433       1 Ss   /usr/lib/systemd/systemd-logind
   2434       1 Ssl  /usr/sbin/thermald --systemd --dbus-enable --adaptive
   2435       1 Ssl  /usr/libexec/udisks2/udisksd
   2449    2365 S    avahi-daemon: chroot helper
   2467    2366 S    /usr/sbin/chronyd -n -F 1
   2527       1 Ssl  /usr/sbin/rsyslogd -n -iNONE
   2532    2467 S    /usr/sbin/chronyd -n -F 1
   2551       1 Ssl  /usr/sbin/NetworkManager --no-daemon
   2552       1 Ss   /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
   2587       1 Ssl  /usr/sbin/ModemManager
   2690       1 Ss   /usr/sbin/cupsd -l
   2695       1 Ssl  /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
   2737       1 Ssl  /usr/sbin/gdm3
   2748    2737 Sl   gdm-session-worker [pam/gdm-launch-environment]
   2797       1 Ss   /usr/lib/systemd/systemd --user
   2818       2 I<   [kworker/3:1H-kblockd]
   2854    2797 S    (sd-pam)
   2903    2797 Ss   /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   2904    2797 S<sl /usr/bin/pipewire
   2906    2748 Ssl+ /usr/libexec/gdm-wayland-session gnome-session
   2916    2906 Sl+  /usr/libexec/gnome-session-init-worker gnome-login
   2917    2797 Ss   /usr/bin/mpris-proxy
   2918    2797 S<sl /usr/bin/wireplumber
   2919       1 SNsl /usr/libexec/rtkit-daemon
   2921    2797 Ssl  /usr/bin/pipewire -c filter-chain.conf
   2922    2797 S<sl /usr/bin/pipewire-pulse
   2950    2797 Ssl  /usr/libexec/gcr-ssh-agent --base-dir /run/user/60578/gcr
   2951    2797 Ssl  /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/60578/keyring
   2953    2797 Ssl  /usr/libexec/gnome-session-ctl --monitor
   2954    2797 Ss   /usr/bin/ssh-agent -D
   2957    2797 Ssl  /usr/libexec/xdg-document-portal
   2971    2797 Ssl  /usr/libexec/xdg-permission-store
   2978    2957 Ss   fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/60578/doc
   3031    2797 Ssl  /usr/libexec/gnome-session-service --session=gnome-login
   3045    2797 Ssl  /usr/bin/gnome-shell --mode=gdm
   3065       2 I    [kworker/1:2-events]
   3068       2 S    [nvidia-drm/timeline-16]
   3093    2797 Ssl  /usr/libexec/at-spi-bus-launcher
   3100    3093 S    /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/60578/at-spi/bus
   3102    2797 Sl   /usr/libexec/at-spi2-registryd --use-gnome-session
   3103       1 Ssl  /usr/libexec/colord
   3141    2797 Sl   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   3142       1 Ssl  /usr/libexec/upowerd
   3161    2797 Ssl  /usr/bin/ibus-daemon --panel disable
   3163    2797 Ssl  /usr/libexec/gsd-a11y-settings
   3164    2797 Ssl  /usr/libexec/gsd-keyboard
   3165    2797 Ssl  /usr/libexec/gsd-media-keys
   3166    2797 Ssl  /usr/libexec/gsd-power
   3167    2797 Ssl  /usr/libexec/gsd-rfkill
   3168    2797 Ssl  /usr/libexec/gsd-sharing
   3169    2797 Ssl  /usr/libexec/gsd-smartcard
   3171    2797 Ssl  /usr/libexec/gsd-usb-protection
   3214    2797 Sl   /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   3270    3161 Sl   /usr/libexec/ibus-dconf
   3273    2797 Sl   /usr/libexec/ibus-portal
   3617    2797 Ssl  /usr/libexec/xdg-desktop-portal
   4266    2797 Ssl  /usr/libexec/xdg-desktop-portal-gnome
   4272    3161 Sl   /usr/libexec/ibus-engine-simple
   4629    2797 Ssl  /usr/libexec/xdg-desktop-portal-gtk
   4719       2 I<   [kworker/15:1H-kblockd]
   4739       1 Ssl  /usr/sbin/cups-browsed
   4741       1 Ssl  /usr/local/bin/ollama serve
   4743       1 Ssl  /usr/libexec/power-profiles-daemon
   4885       2 I<   [kworker/11:1H-kblockd]
   5034    2690 S    /usr/lib/cups/notifier/dbus dbus://
   5995       2 S    [vidmem lazy free]
   6005       2 S    [UVM GPU1 BH]
   6006       2 S    [UVM GPU1 KC]
   7338    2737 Sl   gdm-session-worker [pam/gdm-password]
   7698       1 Ss   /usr/lib/systemd/systemd --user
   7702    7698 S    (sd-pam)
   7728    7698 Ss   /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   7729    7698 Ssl  /usr/bin/pipewire
