version,run,model,chunk_kb,drain,rep,target_cam,select_rc,select_us,to_tensor_rc,to_tensor_us,total_us,start_frame,end_frame,frame_delta,grabbed_id,current_id
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","21","1","0","5887","0","111956","117843","628","630","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","22","0","0","10215","0","111952","122167","659","661","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","23","1","0","13863","0","113357","127220","661","663","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","24","0","0","12484","0","112349","124833","663","665","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","25","1","0","12500","0","113339","125839","665","667","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","26","0","0","12502","0","113357","125859","667","669","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","27","1","0","11470","0","114345","125815","669","671","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","28","0","0","11498","0","113339","124837","671","673","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","29","1","0","33203","0","145916","179119","702","705","3","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","30","0","0","13943","0","113345","127288","705","707","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","31","1","0","13717","0","111937","125654","709","711","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","32","0","0","13897","0","113343","127240","711","713","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","33","1","0","11472","0","114346","125818","713","715","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","34","0","0","11506","0","113342","124848","715","717","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","35","1","0","31311","0","111917","143228","746","748","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","36","0","0","9372","0","113343","122715","748","750","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","37","1","0","11464","0","114357","125821","750","752","2","1","1"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","38","0","0","11483","0","113356","124839","752","754","2","0","0"
"SentAI v1.0 build 1544 (2026-06-24 11:07:59)","1","/yolo_1_class_512_1_upsample_512_inloc_de_1024_la_P5_32.tflite","128","2","39","1","0","11541","0","114344","125885","754","756","2","1","1"
