iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
122	7	16	805	135	148	-15	-2	22	-80	189	-333	92	84	179	213	426
123	7	16	758	136	144	-14	-6	-64	-46	288	-323	97	81	175	207	429
124	7	16	664	136	141	-14	-9	-66	-56	213	-250	100	79	172	204	432
125	7	16	715	138	138	-12	-12	-78	-28	155	-242	103	75	173	202	434
126	7	16	805	139	136	-11	-14	-76	-34	225	-278	105	73	173	199	437
127	7	16	758	141	133	-9	-17	-98	-16	258	-272	106	70	176	197	440
128	7	16	766	145	130	-5	-20	-110	20	273	-316	109	66	182	194	443
129	7	16	785	150	124	0	-26	-164	50	240	-301	111	59	190	190	445
130	4	64	656	155	107	5	-43	-200	70	263	-259	89	30	222	185	448
131	7	16	715	156	110	6	-40	-130	34	1413	-2543	117	43	195	177	450
132	7	16	813	159	100	9	-50	-200	66	64	-70	121	34	198	167	453
133	7	16	742	162	95	12	-55	-200	78	-14	109	123	28	201	162	455
134	7	16	734	163	90	13	-60	-200	62	252	-329	125	24	201	157	458
135	7	16	766	164	89	14	-61	-200	66	333	-414	128	22	201	156	461
136	7	16	758	166	84	16	-66	-200	84	160	-179	131	17	202	152	463
137	7	16	688	170	81	20	-69	-200	120	268	-102	133	13	207	150	466
138	7	16	688	171	79	21	-71	-200	94	50	-61	134	11	208	148	468
139	7	16	789	171	79	21	-71	-200	84	78	-32	134	12	208	147	470
140	7	16	832	171	79	21	-71	-200	84	55	-12	135	13	207	145	473
141	7	16	805	171	79	21	-71	-200	84	106	43	135	13	207	145	476
142	7	16	797	173	80	23	-70	-200	112	149	56	136	15	211	146	478
143	7	16	773	175	82	25	-68	-200	120	141	52	137	16	214	148	481
144	7	16	805	175	82	25	-68	-200	100	119	81	138	17	212	148	484
145	7	16	785	175	84	25	-66	-200	100	120	92	137	17	213	151	486
146	7	16	664	178	84	28	-66	-200	142	3	119	138	16	218	153	489
147	7	16	676	177	87	27	-63	-200	98	151	104	138	18	217	156	491
148	7	16	758	177	89	27	-61	-200	108	-8	87	138	21	217	157	494
149	7	16	723	180	90	30	-60	-200	150	75	142	140	23	220	158	497
150	7	16	742	180	92	30	-58	-200	120	-16	124	141	24	220	161	499
151	7	16	742	180	93	30	-57	-200	120	29	114	142	24	218	162	502
152	7	64	602	182	93	32	-57	-200	148	140	91	142	21	222	165	504
153	7	16	547	183	94	33	-56	-200	142	92	84	143	21	223	167	507
154	7	16	547	183	95	33	-55	-200	132	32	132	144	22	223	168	510
155	7	16	688	183	98	33	-52	-178	132	68	119	145	28	221	169	513
156	7	16	645	183	102	33	-48	-152	132	-13	84	145	32	222	172	515
157	7	16	633	182	104	32	-46	-164	118	-11	72	144	35	221	173	518
158	7	16	664	181	104	31	-46	-184	114	-33	92	142	34	220	174	520
159	7	16	633	183	104	33	-46	-184	152	-110	120	144	34	222	174	523
160	7	16	645	181	104	31	-46	-184	104	-34	133	142	34	221	175	526
161	7	16	656	182	106	32	-44	-156	138	25	86	144	37	221	176	529
162	4	64	625	191	105	41	-45	-190	200	63	84	138	31	245	180	531
163	4	64	625	188	110	38	-40	-110	122	-38	100	137	39	239	181	534
164	4	16	633	185	113	35	-37	-118	110	45	85	141	46	230	180	537
165	4	64	602	186	114	36	-36	-134	154	-25	84	142	46	231	183	540
166	4	16	676	184	117	34	-33	-102	116	-5	89	145	51	224	184	542
167	4	64	633	185	117	35	-33	-132	150	-21	93	144	49	227	186	545
168	4	16	656	186	119	36	-31	-104	154	44	69	146	52	226	187	547
169	4	16	602	185	120	35	-30	-110	130	16	84	146	53	224	188	550
170	4	16	723	184	122	34	-28	-92	126	92	82	147	55	221	189	553
171	4	16	676	184	122	34	-28	-112	136	-51	97	148	55	221	190	556
172	4	64	656	183	121	33	-29	-126	122	-56	79	145	51	221	192	558
173	4	16	707	181	123	31	-27	-88	104	-46	78	145	54	217	193	561
174	4	64	723	182	123	32	-27	-108	138	173	28	144	52	221	194	564
175	4	16	789	185	125	35	-25	-80	170	653	-111	148	57	222	193	566
176	4	16	734	186	127	36	-23	-72	154	-63	96	150	62	223	192	569
177	4	16	773	187	129	37	-21	-64	158	-117	116	151	66	223	193	571
178	4	16	773	185	131	35	-19	-56	120	10	81	149	66	222	196	574
179	4	16	773	185	132	35	-18	-62	140	-23	90	149	66	221	199	577
180	4	16	797	185	133	35	-17	-58	140	-21	87	149	68	222	199	579
181	4	16	742	185	134	35	-16	-54	140	-48	102	148	68	223	201	582
182	4	16	723	185	135	35	-15	-50	140	-129	121	148	70	223	201	585
183	4	16	695	185	136	35	-14	-46	140	-167	114	147	71	223	202	587
184	4	16	707	183	138	33	-12	-28	112	-123	104	145	72	221	205	590
185	4	16	664	182	139	32	-11	-34	118	-214	135	144	72	221	206	593
186	4	16	676	182	140	32	-10	-30	128	-120	105	143	73	221	207	596
187	4	16	676	180	141	30	-9	-26	100	-22	106	140	76	220	207	598
188	4	16	664	179	142	29	-8	-22	106	-205	121	139	77	220	208	601
189	4	16	723	176	143	26	-7	-18	74	-97	110	137	79	216	208	604
190	4	16	758	175	146	25	-4	14	90	-22	70	136	83	214	210	607
191	4	16	750	173	147	23	-3	-2	72	-167	97	135	84	212	211	609
192	4	16	805	171	148	21	-2	2	64	-138	103	134	85	209	212	612
193	4	16	750	169	150	19	0	20	56	-79	97	133	87	205	214	614
194	4	16	742	170	152	20	2	28	90	-119	88	133	88	207	217	617
195	4	16	695	168	153	18	3	22	52	-191	114	131	87	206	220	620
196	4	16	715	168	154	18	4	26	72	-171	142	131	86	205	223	622
197	4	16	664	168	154	18	4	16	72	-150	83	131	85	205	223	625
198	4	16	633	167	154	17	4	16	58	-192	124	130	86	205	223	628
199	4	16	766	164	155	14	5	30	26	-105	114	128	87	201	224	631
200	4	16	766	162	158	12	8	62	28	-167	105	126	90	199	226	633
201	4	16	758	163	159	13	9	46	62	-100	86	125	91	201	227	636
202	4	16	742	162	161	12	11	64	38	-204	109	123	93	201	230	639
203	4	16	820	159	163	9	13	72	6	-24	75	121	96	198	231	641
204	4	16	766	157	165	7	15	80	8	-194	91	119	99	195	231	644
205	4	16	742	157	166	7	16	74	28	-112	96	118	101	197	232	647
206	4	16	766	154	168	4	18	92	-14	-162	126	116	102	193	234	649
207	4	16	625	153	169	3	19	86	2	-108	85	114	102	192	236	652
208	4	16	688	151	169	1	19	76	-16	-115	70	112	102	190	237	655
209	4	16	625	150	170	0	20	90	-10	-134	112	111	103	190	238	658
210	4	16	789	149	171	-1	21	94	-14	-58	107	110	105	188	237	660
211	4	16	723	146	173	-4	23	112	-46	-115	95	108	109	184	237	663
212	4	16	633	144	173	-6	23	92	-44	-157	98	107	110	182	237	666
213	4	16	805	142	175	-8	25	120	-52	-21	90	105	112	179	239	669
214	4	16	785	143	178	-7	28	142	-18	-165	101	105	115	181	241	671
215	4	16	797	141	179	-9	29	126	-56	-163	75	104	116	178	243	674
216	4	16	832	139	181	-11	31	144	-64	-154	97	103	117	175	245	677
217	4	16	723	139	182	-11	32	138	-44	-162	99	102	117	177	248	680
218	4	16	750	138	184	-12	34	156	-58	-99	92	101	117	175	251	683
219	4	16	750	132	190	-18	40	200	-132	-1794	1936	95	122	170	259	685
220	4	16	813	128	197	-22	47	200	-128	-49	131	90	128	166	266	688
221	4	16	840	125	200	-25	50	200	-130	77	-112	87	130	163	270	691
222	4	16	813	124	200	-26	50	200	-114	25	10	87	130	161	271	694
223	4	16	820	124	201	-26	51	200	-104	-139	66	87	131	161	271	697
224	4	16	773	123	200	-27	50	190	-118	-126	-21	86	131	161	270	699
225	4	16	773	123	200	-27	50	200	-108	30	-84	86	131	161	269	702
226	4	16	773	123	200	-27	50	200	-108	32	-140	86	131	161	269	705
227	4	16	789	124	198	-26	48	172	-94	38	-140	87	130	162	267	708
228	4	16	805	124	196	-26	46	164	-104	-23	-131	87	130	162	263	711
229	4	16	785	125	194	-25	44	156	-90	81	-141	87	129	163	260	713
230	4	16	785	125	193	-25	43	162	-100	44	-107	87	128	163	258	716
231	4	16	785	125	191	-25	41	144	-100	102	-117	88	126	163	256	719
232	4	16	715	126	187	-24	37	108	-86	-66	-144	89	121	163	253	722
233	4	16	805	126	185	-24	35	120	-96	18	-204	89	120	163	251	724
234	4	16	805	127	180	-23	30	70	-82	51	-357	90	114	165	246	727
235	4	16	766	127	176	-23	26	64	-92	-91	-39	90	110	165	242	730
236	4	16	797	127	174	-23	24	76	-92	-22	-109	90	109	165	239	733
237	4	16	785	128	170	-22	20	40	-78	61	-184	90	103	166	237	736
238	4	16	773	128	167	-22	17	38	-88	90	-180	90	98	166	237	739
239	4	16	832	128	166	-22	16	54	-88	-43	-140	90	96	166	236	741
240	4	16	828	126	165	-24	15	50	-116	28	-106	88	93	165	237	744
241	4	16	820	127	163	-23	13	32	-82	-39	-118	88	90	166	237	747
242	4	16	832	126	164	-24	14	66	-106	-46	-142	87	88	166	240	749
243	4	16	844	126	164	-24	14	56	-96	72	-130	86	86	166	243	752
244	4	16	852	125	165	-25	15	70	-110	191	-143	83	82	167	249	755
245	4	16	832	124	167	-26	17	88	-114	173	-109	81	80	168	255	758
246	4	16	766	123	169	-27	19	96	-118	203	106	79	79	168	260	760
247	4	16	766	127	166	-23	16	34	-52	220	103	77	70	177	263	763
248	4	16	688	126	166	-24	16	64	-106	233	171	70	60	183	273	766
249	4	16	625	125	166	-25	16	64	-110	187	184	66	50	185	283	768
250	4	16	676	120	173	-30	23	162	-170	190	115	55	53	185	294	771
251	4	16	613	121	169	-29	19	36	-106	244	-145	51	41	192	297	773
252	4	16	676	118	165	-32	15	20	-158	232	-232	44	30	193	300	776
253	4	16	734	116	160	-34	10	-10	-156	238	-205	33	20	200	301	778
254	4	16	723	114	154	-36	4	-44	-164	184	-206	23	8	206	301	781
255	4	16	750	113	151	-37	1	-26	-158	311	-243	12	1	215	302	783
256	4	16	766	118	149	-32	-1	-24	-78	312	-256	6	-2	231	301	786
257	4	16	758	124	148	-26	-2	-18	-44	354	315	2	-4	246	300	788
258	4	16	734	135	148	-15	-2	-8	50	-274	592	0	-4	270	300	791
259	4	16	742	141	148	-9	-2	-8	24	291	804	-2	-3	285	299	793
260	4	16	734	146	148	-4	-2	-8	34	457	1720	-2	-3	295	299	796
