iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
187	2	16	785	190	125	40	-25	-70	120	-179	92	142	26	239	224	605
188	2	16	773	190	126	40	-24	-86	160	-136	79	139	28	242	225	607
189	2	16	766	191	127	41	-23	-82	174	-104	76	136	29	247	225	609
190	2	16	785	185	128	35	-22	-78	80	-287	135	131	29	239	228	612
191	2	16	758	180	131	30	-19	-46	70	-203	101	127	29	233	233	615
192	2	16	789	176	134	26	-16	-34	64	-266	133	124	34	228	234	618
193	2	16	750	174	137	24	-13	-22	76	-208	122	123	38	225	236	620
194	2	16	773	171	140	21	-10	-10	54	-262	83	120	41	223	239	623
195	2	16	758	169	141	19	-9	-26	56	-263	135	118	42	221	241	626
196	2	16	785	167	142	17	-8	-22	48	-278	144	117	43	218	241	628
197	2	16	785	164	144	14	-6	-4	26	-218	98	116	47	213	241	631
198	2	16	766	163	146	13	-4	4	42	-201	110	114	50	212	242	634
199	2	16	773	161	146	11	-4	-16	24	-276	124	114	50	209	243	636
200	2	16	785	159	148	9	-2	12	16	-88	89	110	52	208	244	639
201	2	16	805	156	148	6	-2	-8	-6	-257	111	106	51	206	245	642
202	2	16	828	153	149	3	-1	6	-18	-238	106	103	52	203	247	644
203	2	16	832	150	150	0	0	10	-30	-251	98	100	52	200	248	647
204	2	16	855	147	149	-3	-1	-14	-42	-276	83	96	51	198	248	650
205	2	16	855	144	151	-6	1	24	-54	-205	98	93	54	196	248	652
206	2	16	813	144	154	-6	4	46	-24	-459	145	92	58	196	250	655
207	2	16	863	140	156	-10	6	44	-80	-167	89	89	61	192	251	658
208	2	16	840	137	157	-13	7	38	-82	-274	116	88	62	187	253	660
209	2	16	820	134	158	-16	8	42	-94	-155	83	87	62	182	254	663
210	2	16	805	133	158	-17	8	32	-78	-245	89	87	61	179	255	666
211	2	16	789	132	158	-18	8	32	-82	-210	80	85	61	179	255	668
212	2	16	805	131	159	-19	9	46	-86	-221	84	83	63	180	256	671
213	2	16	785	131	161	-19	11	64	-76	-192	116	81	64	182	258	674
214	2	16	797	125	166	-25	16	114	-160	-238	96	75	69	176	264	676
215	2	16	797	121	170	-29	20	120	-156	-219	88	72	73	171	268	679
216	2	16	805	118	173	-32	23	122	-158	-329	128	69	75	167	271	682
217	2	16	766	115	174	-35	24	106	-170	-251	92	67	77	164	272	684
218	2	16	758	112	174	-38	24	96	-182	-265	82	64	76	160	272	687
219	2	16	750	110	174	-40	24	96	-180	-192	94	62	75	158	273	690
220	2	16	785	108	175	-42	25	110	-188	-339	145	60	77	156	274	693
