iter	tid	cls	conf	cx	cy	err_x	err_y	vx	vy	fvx	fvy	x1	y1	x2	y2	fseq
123	4	16	734	113	220	-37	70	200	-128	101	-39	78	161	149	280	432
124	4	16	688	114	219	-36	69	200	-134	50	8	79	161	149	278	435
125	4	16	707	114	219	-36	69	200	-144	-82	16	79	161	150	277	438
126	4	16	676	114	219	-36	69	200	-144	-1	11	79	162	150	277	440
127	4	16	664	115	220	-35	70	200	-130	22	37	80	163	151	277	443
128	4	16	688	115	221	-35	71	200	-140	16	25	80	163	151	279	446
129	4	16	695	116	222	-34	72	200	-126	16	29	80	164	152	280	449
130	4	16	723	112	222	-38	72	200	-192	-25	44	78	163	147	281	451
131	4	16	789	111	224	-39	74	200	-166	-80	55	76	164	146	284	454
132	4	16	766	110	226	-40	76	200	-170	66	47	75	165	146	287	457
133	4	16	773	110	227	-40	77	200	-160	-42	49	74	166	146	288	460
134	4	16	789	108	227	-42	77	200	-188	-63	62	73	166	144	289	462
135	4	16	742	108	228	-42	78	200	-168	-16	82	73	166	143	290	465
136	4	16	707	108	228	-42	78	200	-168	-41	34	73	165	144	292	468
137	4	16	813	107	230	-43	80	200	-182	-53	62	72	167	143	293	471
138	4	16	789	105	231	-45	81	200	-200	-25	59	69	169	141	294	474
139	4	16	773	104	233	-46	83	200	-194	18	44	68	171	141	296	476
140	4	16	773	105	234	-45	84	200	-170	54	22	68	172	143	296	479
141	4	16	750	106	235	-44	85	200	-166	15	18	68	173	144	297	482
142	4	16	742	106	234	-44	84	200	-176	46	27	67	172	145	297	485
143	4	16	773	106	234	-44	84	200	-176	32	17	68	173	145	296	488
144	4	16	785	107	236	-43	86	200	-162	19	25	69	176	145	296	490
145	4	16	773	106	237	-44	87	200	-186	-80	24	68	178	145	297	493
146	4	16	773	106	238	-44	88	200	-176	4	24	69	179	144	297	496
147	4	16	766	106	238	-44	88	200	-176	127	17	69	180	144	297	499
148	4	16	773	105	238	-45	88	200	-190	-26	23	68	179	143	297	502
149	4	16	785	106	238	-44	88	200	-166	120	-1	69	180	143	297	504
150	4	16	773	106	238	-44	88	200	-176	-53	18	69	180	143	297	507
151	4	16	766	106	238	-44	88	200	-176	-35	29	69	180	143	297	510
152	4	16	766	105	238	-45	88	200	-190	41	14	69	180	142	297	512
153	4	16	766	106	238	-44	88	200	-166	-34	31	69	180	144	297	515
154	4	16	785	106	238	-44	88	200	-176	-8	17	69	180	144	296	518
155	4	16	766	107	238	-43	88	200	-162	5	26	70	181	144	296	520
156	4	16	758	107	238	-43	88	200	-172	-40	56	70	180	145	296	523
157	4	16	789	107	238	-43	88	200	-172	40	24	70	181	145	296	526
158	4	16	785	108	240	-42	90	200	-158	-51	44	70	183	146	297	529
159	4	16	805	108	239	-42	89	200	-168	-23	40	70	182	146	297	531
160	4	16	789	108	240	-42	90	200	-168	-13	46	70	183	147	297	534
161	4	16	789	108	240	-42	90	200	-168	-112	60	70	184	146	297	537
162	4	16	789	107	241	-43	91	200	-182	-124	76	69	184	146	298	540
163	4	16	766	107	242	-43	92	200	-172	-44	44	68	187	146	298	542
164	4	16	773	105	242	-45	92	200	-200	-21	51	66	188	145	297	545
165	4	16	766	105	241	-45	91	200	-180	-27	47	65	186	145	296	548
166	4	16	789	104	241	-46	91	200	-194	15	36	64	186	144	297	551
167	4	16	797	103	242	-47	92	200	-198	-15	37	63	186	144	298	553
168	4	16	805	103	242	-47	92	200	-188	-27	47	63	187	143	298	556
169	4	16	789	103	241	-47	91	200	-188	41	30	63	185	143	298	559
170	4	16	805	102	242	-48	92	200	-200	36	22	63	186	142	298	562
171	4	16	797	102	242	-48	92	200	-192	48	17	63	187	142	298	564
172	4	16	797	102	243	-48	93	200	-192	-49	31	64	189	141	298	567
173	4	16	805	102	243	-48	93	200	-192	17	26	64	189	141	298	570
174	4	16	797	102	243	-48	93	200	-192	77	9	63	189	141	298	573
175	4	16	789	103	244	-47	94	200	-178	33	8	65	190	142	298	575
176	4	16	789	104	244	-46	94	200	-174	12	28	66	191	142	298	578
177	4	16	797	104	245	-46	95	200	-184	102	24	66	192	142	298	581
178	4	16	773	105	245	-45	95	200	-170	19	23	68	192	143	298	583
179	4	16	766	106	246	-44	96	200	-166	25	10	69	194	143	298	586
180	4	16	773	106	246	-44	96	200	-176	60	-7	70	194	143	298	589
181	4	16	742	107	246	-43	96	200	-162	-30	30	70	195	144	298	592
182	4	16	766	107	245	-43	95	200	-172	36	11	70	194	144	297	595
183	4	16	750	107	245	-43	95	200	-172	-64	29	70	194	145	297	597
