ts_ms,rel_s,alt_cmd,n_assoc,markers,kabsch_res,gt_x,gt_y,gt_z,est_x,est_y,est_z,cf2_x,cf2_y,cf2_z
306309612,2.391,0.78,6,ENENWSESWW,0.0010240814804302505,-0.0015517406978737157,-0.0038046071215797803,0.7071586004174928,0.03858488367314334,-0.0010280492591229495,0.6812765657152351,0.0002485226,-0.0004293519,0.795666
306309725,2.504,0.78,6,ENENWSESWW,0.0008095387650468179,-0.0016956287112018112,-0.0037871079719838862,0.7081426997210547,0.04062725212675691,0.0029569336592897683,0.6822393690306701,0.0002388378,-0.0004403349,0.7952114
306309830,2.609,0.78,6,ENENWSESWW,0.000625941931548823,-0.0018376823646973134,-0.0037758301312855558,0.7091068375096663,0.03970547922179867,-0.0021828677862055115,0.6822549074859204,0.0002299746,-0.0004611328,0.7947109
306309938,2.717,0.78,6,ENENWSESWW,0.0009929180332040259,-0.0019746365625895154,-0.0037668115505174187,0.7100530396312182,-0.03988217038871768,-0.002543461854347402,0.6831822370651466,0.0002275465,-0.000472661,0.7944996
306310045,2.824,0.78,6,ENENWSESWW,0.0009624136392000264,-0.0021315609267966965,-0.0037533348516087133,0.7111681570386851,0.04000987939259146,-0.0025802065692781535,0.6840945286444934,0.0002256708,-0.0004998144,0.7940714
306310149,2.928,0.78,6,ENENWSESWW,0.0018809181562501245,-0.002239692082405283,-0.0037386787462120336,0.7119739629538241,0.04034766265437654,-0.003948363568163397,0.6849220902812416,0.00022891,-0.0005302181,0.7935928
306310259,3.038,0.78,6,ENENWSESWW,0.0019474205799183207,-0.002394766555108838,-0.0037040017636341418,0.7131915108325739,0.03984812069941531,-0.007865491467112067,0.6860227505145512,0.0002362223,-0.0005513189,0.7931745
306310372,3.151,0.78,6,ENENWSESWW,0.0008865436737865328,-0.00253146895736482,-0.0036596691328212687,0.7142869342316476,0.0363385319275,-0.003489050412690237,0.6879971098305604,0.0002444118,-0.0005628882,0.7928068
306310481,3.26,0.78,6,ENENWSESWW,0.0014325922066873505,-0.002668126020634207,-0.003609469416708921,0.7153612230224904,0.0391251688303767,-0.001111522025816585,0.6899072294996182,0.0002483644,-0.0005662452,0.7925941
306310591,3.37,0.78,6,ENENWSESWW,0.00040774491311151693,-0.002811763469458715,-0.0035568908102141584,0.7164495303098923,-0.04270336932798622,-0.0008681373780905532,0.6902846524913651,0.0002517918,-0.0005687324,0.7921794
306310703,3.482,0.78,6,ENENWSESWW,0.0005725879573540419,-0.002968089860563291,-0.00350364119139108,0.7176103871529899,-0.04365902070927935,-0.0022362956725398516,0.6913522673153025,0.0002494657,-0.0005692988,0.7918259
306310809,3.588,0.78,6,ENENWSESWW,0.0006587035285402614,-0.003126004213363648,-0.0034527327723167115,0.7187914150763105,-0.04403294437094796,0.0009380386940374158,0.6924194146922337,0.0002433788,-0.000570611,0.7914255
306310916,3.695,0.78,6,ENENWSESWW,0.0007956713935317564,-0.00328216223671595,-0.0034048159941437012,0.7199947724188558,-0.046438308268220034,-0.002047635609957888,0.6930184799449615,0.0002402579,-0.0005714284,0.7912576
306311024,3.803,0.78,6,ENENWSESWW,0.001115499185231489,-0.0034267474754823978,-0.003362767884735992,0.7211718580154729,0.04205292175419342,0.008278608676824133,0.6948345663879794,0.0002348939,-0.0005735396,0.7909352
306311135,3.914,0.78,6,ENENWSESWW,0.0015422668695649678,-0.0035439264025700166,-0.003327875410649207,0.722201256305644,-0.03936461949374203,0.005752410156759804,0.695593386633672,0.000233212,-0.0005764137,0.7905808
306311241,4.02,0.78,4,ENWSWW,0.0007850105458261927,-0.003671211778103304,-0.0032847080484348107,0.7234308538814148,-0.04657420353098493,-0.0017328165034161973,0.6970154382094406,0.000238085,-0.000577466,0.7902666
306311351,4.13,0.78,6,ENENWSESWW,0.000811288242618089,-0.0037784963708753275,-0.0032416129362168714,0.72455255316473,0.044830829067631105,0.006564678034214385,0.6977687382998194,0.0002505944,-0.0005741587,0.7899413
306311459,4.238,0.78,6,ENENWSESWW,0.0006440731267417751,-0.003890657037714833,-0.00318774105874191,0.7257873006739868,0.0425043775345251,0.008730572845062859,0.6992085381716548,0.00026634,-0.0005656779,0.7896571
306311569,4.348,0.78,6,ENENWSESWW,0.0007134019559926772,-0.003996355891361354,-0.003130861558938116,0.7269575827903981,-0.04050836709340582,-0.003546422799451213,0.6998373896761507,0.0002750047,-0.0005584662,0.7895084
306311678,4.457,0.78,4,ENESEW,0.0005126307118236412,-0.004113110514415852,-0.00306721855291595,0.7282215975090766,0.03962786221276581,0.0043474507639037225,0.7017430988599959,0.0002882043,-0.0005415183,0.7892387
306311785,4.564,0.78,6,ENENWSESWW,0.0006409419037340208,-0.004235739229170452,-0.0030061715001412307,0.7294874402194224,-0.041050575396648664,-0.0025205173465089885,0.7033690749866047,0.0002963799,-0.0005228652,0.7889698
306311892,4.671,0.78,6,ENENWSESWW,0.0004474474716162392,-0.004358978655570621,-0.0029530718578225775,0.7307046477215676,-0.04194065320147543,0.0012564376566357672,0.7043276964194252,0.0002987151,-0.0005064692,0.7887161
306311997,4.776,0.78,4,ENESEW,0.00031099205987872357,-0.00449498414985558,-0.002903633344691978,0.7320381145383155,0.04178720648309698,0.0030285100290467393,0.7055502556662012,0.0002978965,-0.0004944334,0.7884719
306312106,4.885,0.78,4,ENESEW,0.00033493517698716263,-0.004629685605967994,-0.002865350479506105,0.7333896801222809,0.04199875392467225,-0.0016607621583631753,0.7075865355607057,0.0002977044,-0.0004903116,0.7883473
306312217,4.996,0.78,4,ENWSWW,0.00045707291737819103,-0.00474974645232394,-0.0028394296677033085,0.7346568813509959,-0.043640649824984126,0.0028594504777928772,0.7081074607372242,0.0002996363,-0.0004861887,0.7880868
306312327,5.106,0.78,6,ENENWSESWW,0.0014881097540120145,-0.004873907796914624,-0.0028170652848101543,0.7360618346483413,-0.04324341861473842,-0.0024527148032546324,0.710199548302844,0.0003071293,-0.0004866457,0.7878371
306312431,5.21,0.78,6,ENENWSESWW,0.0009898783399596499,-0.004981864096712034,-0.002799905566360209,0.7374126145586464,-0.0426826147876889,-0.0007867167933713282,0.711394402337955,0.0003181532,-0.0004880834,0.7876445
306312539,5.318,0.78,6,ENENWSESWW,0.0018822691521844966,-0.005074329558788932,-0.002784241036538512,0.7387082804201641,-0.04288834490389762,-0.0002964233170729267,0.7127159677962107,0.0003383255,-0.0004889025,0.7874157
306312644,5.423,0.78,6,ENENWSESWW,0.0013589267817468807,-0.005174774987663036,-0.002761856648429398,0.7402414468795678,-0.04195025040496259,0.004277454180758828,0.7145827803124918,0.0003622087,-0.000484997,0.7872139
306312753,5.532,0.78,6,ENENWSESWW,0.0025533735652247974,-0.0052664677269257795,-0.002734196401742345,0.7416830422607121,-0.04220495875679398,-0.00040997405259615195,0.7154076630199789,0.0003763473,-0.0004800947,0.7871132
306312860,5.639,0.78,4,ENWSWW,0.0018722892172328908,-0.005367984881045543,-0.002698062611248335,0.7432310695398284,-0.04088047033460791,0.002943839463200251,0.715496370602913,0.0004022837,-0.0004644579,0.7869132
306312966,5.745,0.78,6,ENENWSESWW,0.0016155265453025433,-0.005462566792066138,-0.0026656622515138172,0.7445869541392206,-0.04245118384423788,0.00686904825911878,0.7177905648678047,0.0004197467,-0.0004459628,0.7867343
306313081,5.86,0.78,6,ENENWSESWW,0.0036290604154758607,-0.005577402404734952,-0.0026332284492581568,0.7461089047621017,-0.04133025492968276,0.006548065115912948,0.7190464371937272,0.0004319918,-0.0004246526,0.7865252
306313191,5.97,0.78,6,ENENWSESWW,0.002036383292519107,-0.0056967967186748545,-0.0026092660874211084,0.7476118204620189,-0.04290043199689146,0.0008852776339656468,0.7203809021765485,0.0004343548,-0.000417859,0.7864454
306313297,6.076,0.78,6,ENENWSESWW,0.0011515191897109893,-0.0058167195097490795,-0.0025950333321556303,0.7491093884406833,-0.0432266287580718,0.0016997711018760242,0.7227915418865066,0.000436521,-0.0004071061,0.7862591
306313405,6.184,0.78,6,ENENWSESWW,0.000943343345300712,-0.005923802639276925,-0.0025873932940170792,0.7504827351695035,0.04317218503153729,0.00553893793165606,0.7239494815045381,0.0004370733,-0.0004060555,0.786084
306313516,6.295,0.78,5,ENESESWW,0.0005546684217547583,-0.006037071650926491,-0.0025802446840065985,0.7520287360412841,0.04321403471238667,-0.0015051646039732462,0.7253406247248779,0.0004406935,-0.000409854,0.7859073
306313620,6.399,0.78,6,ENENWSESWW,0.00037642998083455237,-0.00614756132282225,-0.0025698066662595714,0.7536722834629994,-0.04652220616873349,0.0031441671164750768,0.7271693231971332,0.0004497344,-0.0004146438,0.7857378
306313727,6.506,0.78,6,ENENWSESWW,0.001697092229799822,-0.006256656525161228,-0.002550805570099131,0.7553985589243687,-0.04240796500177024,0.0014854907670258633,0.7284204071145493,0.0004590423,-0.0004166519,0.7856265
306313834,6.613,0.78,4,ENESEW,0.0004440989393844551,-0.006365498031634754,-0.002522816483592525,0.7571189209178184,0.04352767346167433,0.003268337571059786,0.7297511748654715,0.0004731063,-0.0004157507,0.7854855
306313939,6.718,0.78,5,ENESESWW,0.0007987740036418615,-0.0064636329670328336,-0.00249425800508067,0.7586038857631718,0.043297950315589945,-0.0028532594761533046,0.7321175187436186,0.0004857943,-0.0004108747,0.7853446
306314150,6.929,0.78,4,ENESEW,0.0009149570218967028,-0.006678621347999837,-0.0024363063640894618,0.7615901049652155,0.04479394490035787,0.008819636706009824,0.7350815520219186,0.0004972043,-0.0003981786,0.7851168
306314260,7.039,0.78,6,ENENWSESWW,0.0014190872020546268,-0.006819795293060638,-0.0024093060951855387,0.7634573844948829,-0.044958691283579516,6.886271531900186e-05,0.736646904683151,0.0004976241,-0.0003913708,0.7849723
306314365,7.144,0.78,4,ENESEW,0.0001895930772884216,-0.00692669908474844,-0.002396813991018878,0.7648688696638312,0.05028972842196065,0.004004275710875592,0.7377452565909726,0.0004940962,-0.000388993,0.784844
306314583,7.362,0.78,4,ENESEW,0.0005073215114506221,-0.007176869797266646,-0.0023991041077434435,0.768397999177318,0.042635615169760735,-0.005194154521130015,0.7416035146644386,0.0004906734,-0.0003985655,0.7845664
306315009,7.788,0.78,6,ENENWSESWW,0.0006531314864656112,-0.0075529456357955665,-0.0024189738885205597,0.7752030231876593,-0.047804031029838816,-0.0023935141779194927,0.7479940661916619,0.0005350492,-0.0004053645,0.7841476
306315116,7.895,0.78,6,ENENWSESWW,0.0014356950689365965,-0.007642846128013334,-0.0024128989515395135,0.7769355472793019,0.04617940222145107,-0.004304913527097718,0.7503207087999252,0.0005510427,-0.0003939536,0.7840376
306315555,8.334,0.78,6,ENENWSESWW,0.000935390756927293,-0.008083666848575468,-0.0024326684587042914,0.784133365862882,-0.0486220483777279,0.0034735167042321755,0.7579192710813916,0.0005724153,-0.0003548315,0.7836077
306315660,8.439,0.78,4,ENESEW,0.0003420550806924639,-0.008209137696075048,-0.002464220513558819,0.7860207927537102,0.046597856149033286,0.003406656571231114,0.7597308514212611,0.0005741071,-0.0003577574,0.7835311
