ts_ms,rel_s,alt_cmd,n_assoc,markers,kabsch_res,gt_x,gt_y,gt_z,est_x,est_y,est_z,cf2_x,cf2_y,cf2_z
308528867,1.068,0.78,6,ENENWSESWW,0.0009922507752089594,0.008360708869078174,-0.007019349522655644,0.7089364184540105,0.005149070433249043,0.0065640679885121825,0.7021392596082008,0.0002480421,-0.0002220632,0.803135
308528972,1.173,0.78,6,ENENWSESWW,0.0004481361549860264,0.00851011151915686,-0.007122153126596845,0.7098250820593127,0.010247961011309358,0.006253780046900011,0.703135877894727,0.0002454141,-0.0002337622,0.8024244
308529079,1.28,0.78,6,ENENWSESWW,0.0013001191771237325,0.00867154736217397,-0.007237518870841259,0.7107941581458133,0.010002692039832986,0.006671286617245561,0.7048032226502742,0.0002436556,-0.0002517171,0.8017805
308529189,1.39,0.78,6,ENENWSESWW,0.001105783308426046,0.008824242761116681,-0.0073449589803475344,0.7117025681995239,0.009346170701815789,0.007733733214077141,0.7056154623291447,0.0002439054,-0.0002649664,0.801398
308529294,1.495,0.78,6,ENENWSESWW,0.001245990248021162,0.009019658722176029,-0.007474839799493136,0.7128432403623286,0.011600738489749945,0.007280437536464366,0.7060117512141312,0.00024806,-0.0002905351,0.800754
308529403,1.604,0.78,6,ENENWSESWW,0.001244794898470229,0.009187105344452114,-0.0075778290913603545,0.7138134370365169,0.01332368871671749,0.007102977550672876,0.7075059494267649,0.0002566606,-0.0003156251,0.8001474
308529513,1.714,0.78,6,ENENWSESWW,0.0006671597186642687,0.00935719457492916,-0.007674148446973323,0.7148171400203143,0.013720689663615306,0.008653616836663538,0.7085423925607055,0.0002693359,-0.0003404824,0.7995113
308529621,1.822,0.78,6,ENENWSESWW,0.0007590081356588902,0.009544377144049281,-0.0077711617210169445,0.7159629972218872,0.014273119515547357,0.012238841566862146,0.7093221583343925,0.0002820405,-0.0003602281,0.7988853
308529730,1.931,0.78,6,ENENWSESWW,0.0011564391515217578,0.009722096056090116,-0.00785864396106689,0.7171101385665192,0.011170793341307113,0.00530280937871054,0.7107573911785124,0.0002863991,-0.0003677056,0.7985699
308529837,2.038,0.78,6,ENENWSESWW,0.0013150009470417226,0.009880017580115879,-0.007937129494436038,0.7181897925389669,0.01146054159871332,0.011678326448471877,0.7121505249350026,0.0002901305,-0.0003807515,0.7979624
308529943,2.144,0.78,6,ENENWSESWW,0.0007878122134763608,0.010046729625936736,-0.008024967617274838,0.7193885628419072,0.010976862861307035,0.011478897213210644,0.7122291423425006,0.0002883572,-0.0003937401,0.7974659
308530054,2.255,0.78,6,ENENWSESWW,0.0008996249687753918,0.010205759001487675,-0.00811213483662848,0.7205564973643175,0.010383260071732604,0.006086382604666217,0.7139532962706263,0.0002829528,-0.000412555,0.7969049
308530159,2.36,0.78,6,ENENWSESWW,0.001883406493783943,0.010358902882401967,-0.008194182282393934,0.721682285571065,0.011762434006177668,0.007599685178500624,0.715168859492217,0.000279572,-0.0004245276,0.7965992
308530267,2.468,0.78,6,ENENWSESWW,0.0009120536647260067,0.010526074481996703,-0.0082762522606664,0.7228895146991682,0.011590055192979488,0.009276916224236294,0.7158266736759361,0.0002746063,-0.0004455143,0.7960994
308530377,2.578,0.78,6,ENENWSESWW,0.0018473435999336275,0.010696961642870621,-0.008349396582564976,0.7240847339219489,0.011802497225361004,0.008482205771559021,0.7166476671024739,0.0002710633,-0.0004658941,0.7956115
308530485,2.686,0.78,6,ENENWSESWW,0.0010745189478672305,0.010874519462097337,-0.008412159112891402,0.7252799404292332,0.01170025095356174,0.0066208653848807645,0.7180974574340424,0.0002691118,-0.0004828647,0.7951193
308530591,2.792,0.78,6,ENENWSESWW,0.002135882332134622,0.011058027862669517,-0.008464338894946825,0.7264953019568808,0.011671928849821793,0.00882935321189585,0.7194974254898215,0.0002685908,-0.0004895982,0.7948551
308530700,2.901,0.78,6,ENENWSESWW,0.0009151619672468207,0.011250416869563405,-0.008506474011285275,0.7277783879472383,0.011500962088854608,0.008611320380052743,0.7215093600991295,0.0002667074,-0.0004967436,0.7944265
308530808,3.009,0.78,6,ENENWSESWW,0.001286794863164142,0.011423773642860695,-0.008535667712375378,0.7289628831365087,0.01311201167824188,0.006693492352222017,0.7219172949507475,0.0002603294,-0.0004982244,0.7939949
