t_ms,frame_seq,dx,dy,body_fw,body_left,pos_fw,pos_left,confidence
10540,323,0,0,0,0,15,2,244
10589,324,1,0,-1,0,14,2,244
10632,325,0,0,0,0,14,2,244
10674,326,1,0,-1,0,13,2,244
10723,327,0,0,0,0,13,2,248
10766,328,-1,0,1,0,14,2,244
10806,329,-2,0,2,0,16,2,244
10846,330,-1,0,1,0,17,2,244
10886,331,-1,0,1,0,18,2,244
10926,332,0,0,0,0,18,2,248
10966,333,-1,0,1,0,19,2,244
11006,334,-1,0,1,0,20,2,244
11052,335,-1,1,1,1,21,3,244
11095,336,0,0,0,0,21,3,248
11144,337,0,0,0,0,21,3,248
11184,338,0,0,0,0,21,3,248
11228,339,-2,0,2,0,23,3,248
11268,340,1,0,-1,0,22,3,248
11308,341,0,0,0,0,22,3,248
11348,342,-1,0,1,0,23,3,248
11388,343,-1,0,1,0,24,3,248
11428,344,-1,1,1,1,25,4,248
11468,345,0,0,0,0,25,4,248
11508,346,-1,0,1,0,26,4,248
11553,347,0,0,0,0,26,4,248
11595,348,0,0,0,0,26,4,248
11644,349,0,1,0,1,26,5,248
11689,350,0,0,0,0,26,5,248
11729,351,-1,0,1,0,27,5,248
11769,352,-1,0,1,0,28,5,248
11809,353,0,0,0,0,28,5,248
11849,354,-1,0,1,0,29,5,248
11889,355,0,0,0,0,29,5,248
11929,356,-1,0,1,0,30,5,248
11969,357,-1,0,1,0,31,5,248
12009,358,0,0,0,0,31,5,248
12055,359,0,0,0,0,31,5,248
12101,360,0,0,0,0,31,5,248
12150,361,0,0,0,0,31,5,248
12190,362,0,0,0,0,31,5,248
12231,363,0,0,0,0,31,5,248
12276,364,1,0,-1,0,30,5,248
12321,365,1,0,-1,0,29,5,248
12374,366,0,0,0,0,29,5,248
12417,367,0,-1,0,-1,29,4,248
12465,368,0,0,0,0,29,4,248
12510,369,1,0,-1,0,28,4,248
12553,370,0,0,0,0,28,4,248
12597,371,0,0,0,0,28,4,248
12647,372,1,0,-1,0,27,4,244
12688,373,1,0,-1,0,26,4,248
12728,374,0,-1,0,-1,26,3,248
12768,375,1,0,-1,0,25,3,248
12808,376,0,-1,0,-1,25,2,244
12848,377,0,0,0,0,25,2,248
12888,378,1,0,-1,0,24,2,248
12928,379,-1,0,1,0,25,2,244
12968,380,0,0,0,0,25,2,244
13008,381,0,0,0,0,25,2,244
13054,382,0,0,0,0,25,2,244
13097,383,0,0,0,0,25,2,248
13147,384,0,0,0,0,25,2,248
13187,385,0,0,0,0,25,2,248
13232,386,0,0,0,0,25,2,244
13272,387,0,0,0,0,25,2,244
13314,388,0,0,0,0,25,2,248
13356,389,0,-1,0,-1,25,1,244
13403,390,0,0,0,0,25,1,248
13456,391,0,0,0,0,25,1,244
13498,392,0,0,0,0,25,1,244
13547,393,0,0,0,0,25,1,248
13590,394,-1,0,1,0,26,1,244
13634,395,0,0,0,0,26,1,248
13674,396,0,0,0,0,26,1,244
13714,397,0,0,0,0,26,1,248
13756,398,1,0,-1,0,25,1,248
13798,399,0,0,0,0,25,1,248
13844,400,-1,0,1,0,26,1,248
13893,401,0,0,0,0,26,1,248
13933,402,1,0,-1,0,25,1,248
13973,403,0,0,0,0,25,1,248
14013,404,0,0,0,0,25,1,248
14053,405,0,0,0,0,25,1,248
14093,406,0,0,0,0,25,1,244
14136,407,0,0,0,0,25,1,248
14180,408,0,0,0,0,25,1,244
14226,409,0,0,0,0,25,1,248
14279,410,0,0,0,0,25,1,248
14322,411,0,0,0,0,25,1,248
14369,412,0,0,0,0,25,1,244
14416,413,0,0,0,0,25,1,244
14456,414,0,0,0,0,25,1,248
14497,415,0,0,0,0,25,1,244
14537,416,-1,0,1,0,26,1,248
14579,417,0,0,0,0,26,1,248
14622,418,0,0,0,0,26,1,244
14669,419,2,0,-2,0,24,1,244
14717,420,0,0,0,0,24,1,244
14757,421,1,0,-1,0,23,1,244
14801,422,0,-1,0,-1,23,0,248
14847,423,1,0,-1,0,22,0,248
14899,424,0,0,0,0,22,0,248
14943,425,0,0,0,0,22,0,248
14990,426,0,0,0,0,22,0,244
15039,427,0,0,0,0,22,0,244
15082,428,0,0,0,0,22,0,244
15132,429,0,0,0,0,22,0,244
15176,430,1,0,-1,0,21,0,244
15216,431,1,0,-1,0,20,0,244
15256,432,1,0,-1,0,19,0,244
15297,433,1,0,-1,0,18,0,244
15338,434,0,0,0,0,18,0,248
15378,435,0,0,0,0,18,0,244
15420,436,0,0,0,0,18,0,244
15465,437,0,0,0,0,18,0,244
15518,438,-1,0,1,0,19,0,244
15560,439,0,0,0,0,19,0,244
15604,440,1,0,-1,0,18,0,244
15651,441,0,0,0,0,18,0,248
15700,442,0,0,0,0,18,0,248
15740,443,0,0,0,0,18,0,244
15785,444,0,0,0,0,18,0,248
15831,445,0,0,0,0,18,0,244
15880,446,0,0,0,0,18,0,248
15924,447,0,0,0,0,18,0,248
15966,448,0,0,0,0,18,0,248
16014,449,0,0,0,0,18,0,244
16062,450,0,0,0,0,18,0,248
16105,451,0,0,0,0,18,0,244
16152,452,0,1,0,1,18,1,244
16203,453,0,0,0,0,18,1,244
16247,454,0,0,0,0,18,1,244
16294,455,1,0,-1,0,17,1,244
16343,456,0,0,0,0,17,1,248
16384,457,-1,0,1,0,18,1,244
16424,458,0,0,0,0,18,1,244
16468,459,0,0,0,0,18,1,244
16510,460,0,0,0,0,18,1,244
16579,461,0,0,0,0,18,1,248
16599,462,0,0,0,0,18,1,244
16647,463,0,0,0,0,18,1,248
16691,464,-1,0,1,0,19,1,244
16736,465,0,0,0,0,19,1,248
16789,466,0,0,0,0,19,1,244
16831,467,-1,0,1,0,20,1,244
16878,468,0,0,0,0,20,1,244
16928,469,0,1,0,1,20,2,240
16970,470,0,0,0,0,20,2,244
17014,471,-1,0,1,0,21,2,244
17065,472,0,0,0,0,21,2,244
17105,473,0,0,0,0,21,2,244
17145,474,0,0,0,0,21,2,248
17185,475,1,0,-1,0,20,2,244
17225,476,0,0,0,0,20,2,244
17265,477,0,0,0,0,20,2,248
17322,478,0,0,0,0,20,2,244
17342,479,0,0,0,0,20,2,248
17382,480,0,0,0,0,20,2,248
